California Natural Gas Industrial Price,,
https://www.eia.gov/dnav/ng/hist/n3035ca3m.htm,,
16:03:13 GMT-0700 (Pacific Daylight Time),,
Data source: U.S. Energy Information Administration,,
Month,California Natural Gas Industrial Price  Dollars per Thousand Cubic Feet,dollar_per_mmbtu
May-23,9.2,8.871745419
Apr-23,11.51,11.09932498
Mar-23,15.84,15.27483124
Feb-23,21.79,21.01253616
Jan-23,21.79,21.01253616
Dec-22,16.94,16.33558341
Nov-22,13.59,13.1051109
Oct-22,13.27,12.79652845
Sep-22,14.6,14.07907425
Aug-22,14.35,13.83799421
Jul-22,13.35,12.87367406
Jun-22,14.18,13.67405979
May-22,12.26,11.82256509
Apr-22,12.26,11.82256509
Mar-22,12.91,12.44937319
Feb-22,13.03,12.56509161
Jan-22,14.3,13.78977821
Dec-21,12.8,12.34329797
Nov-21,11.46,11.05110897
Oct-21,10.43,10.05785921
Sep-21,9.01,8.68852459
Aug-21,8.66,8.351012536
Jul-21,8.74,8.428158149
Jun-21,8.19,7.897782064
May-21,8.12,7.830279653
Apr-21,8.75,8.43780135
Mar-21,9.82,9.469623915
Feb-21,9.59,9.24783028
Jan-21,10.27,9.903567985
Dec-20,8.87,8.553519769
Nov-20,7.86,7.579556413
Oct-20,7.11,6.856316297
Sep-20,6.91,6.663452266
Aug-20,6.68,6.441658631
Jul-20,6.69,6.451301832
Jun-20,6.78,6.538090646
May-20,6.61,6.37415622
Apr-20,7.17,6.914175506
Mar-20,7.68,7.405978785
Feb-20,8.26,7.965284474
Jan-20,8.92,8.601735776
Dec-19,8.58,8.273866924
Nov-19,7.16,6.904532305
Oct-19,6.97,6.721311475
Sep-19,6.78,6.538090646
Aug-19,6.97,6.721311475
Jul-19,6.96,6.711668274
Jun-19,6.6,6.364513018
May-19,6.81,6.567020251
Apr-19,7.86,7.579556413
Mar-19,9.01,8.68852459
Feb-19,8.61,8.302796528
Jan-19,9.12,8.794599807
Dec-18,8.72,8.408871745
Nov-18,7.09,6.837029894
Oct-18,6.19,5.969141755
Sep-18,7.13,6.8756027
Aug-18,8.16,7.868852459
Jul-18,6.52,6.287367406
Jun-18,6.17,5.949855352
May-18,6.17,5.949855352
Apr-18,6.44,6.210221794
Mar-18,7.53,7.261330762
Feb-18,7.56,7.290260366
Jan-18,7.63,7.357762777
Dec-17,7.14,6.885245902
Nov-17,6.38,6.152362584
Oct-17,6.09,5.87270974
Sep-17,6.24,6.017357763
Aug-17,6.43,6.200578592
Jul-17,6.59,6.354869817
Jun-17,7.01,6.759884282
May-17,7.05,6.798457088
Apr-17,7.19,6.933461909
Mar-17,7.71,7.43490839
