CEC Plant ID,Capacity (MW),Net Generation (MWh),Total Fuel Use (MMBtu),State,Year
C0002,36,204189,3456235,CA,2021
C0017,63,303230,14902419,CA,2021
C0023,1800,7580586,76456944,UT,2021
E0004,19,92646,2331999,CA,2021
E0005,31,198545,4130076,CA,2021
E0007,13,53890,1116959,CA,2021
E0018,13,60166,1345994,CA,2021
E0025,16,42841,579206,CA,2021
E0027,54,308328,5121352,CA,2021
E0029,58,0,0,CA,2021
E0033,12,0,0,CA,2021
E0036,6,24011,282153,CA,2021
E0037,15,0,0,CA,2021
E0038,11,37649,1410865,CA,2021
E0041,36,186686,2541557,CA,2021
E0050,25,0,0,CA,2021
E0052,28,0,0,CA,2021
E0054,7,43488,532003,CA,2021
E0055,2,8604,114278,CA,2021
E0063,33,125537,3098753,CA,2021
E0071,4,33794,347058,CA,2021
E0075,2,12177,134781,CA,2021
E0078,20,112968,2805464,CA,2021
E0081,35,110322,3471204,CA,2021
E0086,63,285945,5455589,CA,2021
E0094,5,24250,542707,CA,2021
E0097,14,0,0,CA,2021
E0098,28,145728,2142494,CA,2021
E0099,28,166329,2597147,CA,2021
E0100,26,131979,2050555,CA,2021
E0101,2,7346,103879,CA,2021
E0102,29,192196,2655956,CA,2021
E0105,28,33574,540561,CA,2021
E0106,6,32466,665522,CA,2021
E0110,2,1300,30575,CA,2021
E0112,35,188568,3761915,CA,2021
E0127,50,194232,2422488,CA,2021
E0132,2,9459,108691,CA,2021
E0135,5,34858,335986,CA,2021
E0137,3,1702,31656,CA,2021
E0143,4,0,0,CA,2021
E0150,24,131183,2499735,CA,2021
E0152,7,41846,715125,CA,2021
E0153,6,0,0,CA,2021
E0154,3,16493,0,CA,2021
E0168,3,25836,247348,CA,2021
E0171,5,23932,305618,CA,2021
E0181,2,9379,116955,CA,2021
E0194,6,45004,526217,CA,2021
E0195,3,9285,138501,CA,2021
E0196,3,14159,218939,CA,2021
E0197,2,0,0,CA,2021
E0201,23,0,0,CA,2021
E0202,4,17211,144452,CA,2021
E0203,9,65164,843670,CA,2021
E0205,3,22282,252858,CA,2021
E0211,2,5927,70592,CA,2021
E0212,38,162685,1639674,CA,2021
E0213,50,372440,5306350,CA,2021
E0214,3,18546,225703,CA,2021
E0217,4,29414,307369,CA,2021
E0218,11,86707,898936,CA,2021
E0225,5,33001,368658,CA,2021
E0226,24,145287,1640076,CA,2021
E0227,14,31274,528196,CA,2021
E0228,1,3077,27262,CA,2021
E0232,64,254983,3972341,CA,2021
E0236,2,12923,134861,CA,2021
E0237,3,27525,300718,CA,2021
E0242,5,16112,210948,CA,2021
E0243,13,48390,1308100,CA,2021
E0244,2,7861,106951,CA,2021
E0248,2,13682,140784,CA,2021
E0249,33,217511,2342421,CA,2021
E0250,9,29819,527338,CA,2021
E0251,3,14507,158967,CA,2021
E0252,4,31834,335441,CA,2021
E0253,4,27678,289840,CA,2021
E0254,2,11036,129289,CA,2021
E0255,2,9428,100119,CA,2021
E0257,2,13126,228510,CA,2021
E0258,23,140090,1801879,CA,2021
E0301,30,147048,2843542,CA,2021
E0302,8,59541,560792,CA,2021
E0303,2,3990,76845,CA,2021
E0304,4,23659,276097,CA,2021
E0305,6,36511,498317,CA,2021
E0306,1,7901,174486,CA,2021
E0308,1,6905,147872,CA,2021
E0309,1,7565,184989,CA,2021
E0310,2,2475,0,CA,2021
E0311,1,5825,0,CA,2021
E0312,1,5583,0,CA,2021
E0313,3,18514,0,CA,2021
F0001,1,8626,76373,CA,2021
F0002,1,9475,84253,CA,2021
F0003,1,11284,97683,CA,2021
G0011,1135,536845,7116466,CA,2021
G0014,11,28910,286820,CA,2021
G0016,223,409408,4355846,CA,2021
G0019,130,84082,744136,CA,2021
G0032,43,197377,2240567,CA,2021
G0034,12,0,0,CA,2021
G0035,398,2939805,35414301,CA,2021
G0040,47,22309,208429,CA,2021
G0053,526,202972,1850185,CA,2021
G0054,2,7876,91816,CA,2021
G0058,200,67679,724163,CA,2021
G0063,61,22099,226997,CA,2021
G0076,174,631222,5236603,CA,2021
G0077,4,14511,156661,CA,2021
G0078,32,163164,0,CA,2021
G0084,60,15816,155183,CA,2021
G0085,120,237099,2255406,CA,2021
G0087,7,26347,409007,CA,2021
G0100,17,67028,1966611,CA,2021
G0102,21,143093,3066408,CA,2021
G0103,49,249066,3962993,CA,2021
G0104,184,946767,19735720,CA,2021
G0105,183,1243058,14371476,CA,2021
G0107,10,72567,1552673,CA,2021
G0109,5,25951,411895,CA,2021
G0114,7,43323,731995,CA,2021
G0119,1,7670,78219,CA,2021
G0127,2,3686,35959,CA,2021
G0128,4,1494,0,CA,2021
G0130,92,3952,64780,CA,2021
G0159,3,8930,130280,CA,2021
G0161,247,1285915,12025527,CA,2021
G0169,147,777781,6349421,CA,2021
G0173,20,146462,1739341,CA,2021
G0176,48,18071,191939,CA,2021
G0180,49,2062,22360,CA,2021
G0190,358,955223,8529861,CA,2021
G0195,57,1876,27704,CA,2021
G0202,50,0,0,CA,2021
G0204,100,30943,359182,CA,2021
G0213,200,511657,4313636,CA,2021
G0216,6,22148,266829,CA,2021
G0220,98,23880,262840,CA,2021
G0221,31,18702,177986,CA,2021
G0228,50,6646,97603,CA,2021
G0229,123,100667,950127,CA,2021
G0231,250,15458,191258,CA,2021
G0233,52,17361,151588,CA,2021
G0236,287,146056,2036013,CA,2021
G0239,50,117033,1034155,CA,2021
G0241,5,3062,31171,CA,2021
G0245,548,90192,1084296,CA,2021
G0246,107,15622,227824,CA,2021
G0249,1739,2589003,19879525,CA,2021
G0258,48,19512,208923,CA,2021
G0268,167,546227,4834079,CA,2021
G0274,215,83905,994835,CA,2021
G0280,32,250249,2858493,CA,2021
G0286,35,11594,119844,CA,2021
G0288,4,19914,337734,CA,2021
G0290,28,78868,989656,CA,2021
G0292,48,14402,169949,CA,2021
G0293,300,201952,1514459,CA,2021
G0298,4,10497,140353,CA,2021
G0315,47,33040,309465,CA,2021
G0317,10,65553,1044781,CA,2021
G0319,260,15516,261690,CA,2021
G0329,388,1052998,7966817,CA,2021
G0335,74,4006,51901,CA,2021
G0336,112,2438,155878,CA,2021
G0339,47,17600,169106,CA,2021
G0358,234,41555,480296,CA,2021
G0363,49,125830,2395979,CA,2021
G0368,18,138389,1672606,CA,2021
G0372,1080,5348354,36970792,CA,2021
G0379,55,5691,95546,CA,2021
G0380,27,3816,62900,CA,2021
G0381,27,29004,273613,CA,2021
G0382,50,10181,168975,CA,2021
G0384,58,5208,52188,CA,2021
G0388,5,10836,150302,CA,2021
G0396,17,0,0,CA,2021
G0403,31,4564,48647,CA,2021
G0404,31,8785,82866,CA,2021
G0405,26,148971,1917665,CA,2021
G0406,224,8109,124907,CA,2021
G0410,110,0,0,CA,2021
G0421,1613,427153,5510389,CA,2021
G0424,7,8286,128437,CA,2021
G0428,47,53372,493847,CA,2021
G0429,47,18242,171752,CA,2021
G0467,198,668107,6029384,CA,2021
G0468,70,526413,5213073,CA,2021
G0475,9,36866,394311,CA,2021
G0483,8,34674,402326,CA,2021
G0487,183,373930,3176844,CA,2021
G0490,850,237431,3333096,CA,2021
G0494,4,13101,708023,CA,2021
G0495,5,12240,1051690,CA,2021
G0504,50,2967,40627,CA,2021
G0509,8,47131,0,CA,2021
G0511,14,59724,724068,CA,2021
G0512,800,615911,6036470,CA,2021
G0515,6,27750,456820,CA,2021
G0516,60,486552,5603557,CA,2021
G0518,7,29333,454324,CA,2021
G0520,39,279295,3697940,CA,2021
G0522,3,13003,158298,CA,2021
G0527,2,520,7230,CA,2021
G0536,73,172212,1211773,CA,2021
G0541,4,32250,501900,CA,2021
G0549,876,1791893,14506262,CA,2021
G0557,7,45325,696304,CA,2021
G0558,31,123820,1510784,CA,2021
G0564,50,4329,44910,CA,2021
G0578,0,1598,12059,CA,2021
G0590,300,1131746,6793389,CA,2021
G0599,9,5307,98343,CA,2021
G0600,11,82856,1576753,CA,2021
G0613,115,521739,4845955,CA,2021
G0621,1,3123,38492,CA,2021
G0625,42,274145,3885510,CA,2021
G0627,6,46508,1045430,CA,2021
G0630,27,116867,2892220,CA,2021
G0632,51,353054,5092621,CA,2021
G0638,37,282695,3666783,CA,2021
G0640,30,201620,2244228,CA,2021
G0641,2,3496,44222,CA,2021
G0644,5,30846,536186,CA,2021
G0646,5,22591,241025,CA,2021
G0648,690,1192917,8745698,CA,2021
G0652,42,411,5361,CA,2021
G0662,48,802,13307,CA,2021
G0677,29,189926,2073764,CA,2021
G0679,185,340275,3185296,CA,2021
G0686,49,59168,564968,CA,2021
G0746,4,33299,350051,CA,2021
G0755,99,765254,7952538,CA,2021
G0757,13,82591,937460,CA,2021
G0758,23,0,0,CA,2021
G0759,69,367718,4926011,CA,2021
G0763,43,248647,3568707,CA,2021
G0775,47,7482,86056,CA,2021
G0776,83,421827,6049359,CA,2021
G0778,855,3804880,28553604,CA,2021
G0779,552,1838528,13995568,CA,2021
G0780,594,3329130,25135220,CA,2021
G0781,1200,1243350,9761575,CA,2021
G0783,860,4465081,32700649,CA,2021
G0784,572,2710951,19255270,CA,2021
G0785,689,2126919,15362408,CA,2021
G0787,537,2153772,15639511,CA,2021
