R_ID,Resource,region,Existing_Cap_MW,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Start_cost_per_MW,Up_time,Down_time,cluster,CAPEX_per_kW,OPEX_per_kW_yr
1,geothermal,WEC_SDGE,2448,1.16,None,9.7,0.1,1.2,1.2,0,1,1,1,8971,151
2,hydroelectric_pumped_storage,WEC_SDGE,100,0,None,3.4,0.1,0.4,0.4,0,0,0,1,1500,0
3,natural_gas_fired_combined_cycle,WEC_SDGE,600,6.4,pacific_naturalgas,9.7,0.47,0.4,0.4,37.75,1,1,1,1283,31
4,Nuclear,WEC_SDGE,500,1.87,uranium,10.4,0.2,0.4,0.4,107.86,1,1,2,7800,0
5,ap600,WEC_SDGE,336,2.4,uranium,10.03,0.1,0.4,0.4,30,1,1,3,0,0
6,ap600,WEC_SDGE,91.6,2.4,uranium,10.03,0.1,0.4,0.4,10,1,1,1,0,0
7,ap600,WEC_SDGE,49.9,2.4,uranium,10.03,0.1,0.4,0.4,5,1,1,2,0,0
8,ap600,WEC_SDGE,48.1,2.4,uranium,10.03,0.1,0.4,0.4,10,1,1,3,0,0
9,ap300,WEC_SDGE,34.6,2.4,uranium,10.03,0.1,0.4,0.4,5,1,1,4,0,0
10,ap300,WEC_SDGE,96.6,2.4,uranium,10.03,0.1,0.4,0.4,10,1,1,5,0,0
11,ap300,WEC_SDGE,98.2,2.4,uranium,10.03,0.1,0.4,0.4,0,1,1,6,0,0
12,ap300,WEC_SDGE,98.2,2.4,uranium,10.03,0.1,0.4,0.4,20,1,1,7,0,0
13,ap300,WEC_SDGE,48.9,2.4,uranium,10.03,0.1,0.4,0.4,10,1,1,8,0,0
14,ap300,WEC_SDGE,48.9,2.4,uranium,10.03,0.1,0.4,0.4,30,1,1,9,0,0
15,ap300,WEC_SDGE,51.3,2.4,uranium,10.03,0.1,0.4,0.4,10,1,1,10,0,0
16,ap300,WEC_SDGE,51.3,2.4,uranium,10.03,0.1,0.4,0.4,5,1,1,11,0,0
17,ap300,WEC_SDGE,98.2,2.4,uranium,10.03,0.1,0.4,0.4,10,1,1,12,0,0
18,ap300,WEC_SDGE,98.2,2.4,uranium,10.03,0.1,0.4,0.4,5,1,1,13,0,0
19,ap300,WEC_SDGE,98.2,2.4,uranium,10.03,0.1,0.4,0.4,10,1,1,14,0,0
20,onshore_wind_turbine,WEC_SDGE,1350,0,None,3.4,0,1,1,0,0,0,1,1961,38
22,solar_photovoltaic,WEC_SDGE,1350,0,None,3.4,0,1,1,0,0,0,1,1291,23
