,date,Cost_per_thousand_cubic_feet,Cost_per_MMBtu,day
0,1/1/21,10.27,9.903567985,0
1,1/2/21,10.27,9.903567985,1
2,1/3/21,10.27,9.903567985,2
3,1/4/21,10.27,9.903567985,3
4,1/5/21,10.27,9.903567985,4
5,1/6/21,10.27,9.903567985,5
6,1/7/21,10.27,9.903567985,6
7,1/8/21,10.27,9.903567985,7
8,1/9/21,10.27,9.903567985,8
9,1/10/21,10.27,9.903567985,9
10,1/11/21,10.27,9.903567985,10
11,1/12/21,10.27,9.903567985,11
12,1/13/21,10.27,9.903567985,12
13,1/14/21,10.27,9.903567985,13
14,1/15/21,10.27,9.903567985,14
15,1/16/21,10.27,9.903567985,15
16,1/17/21,10.27,9.903567985,16
17,1/18/21,10.27,9.903567985,17
18,1/19/21,10.27,9.903567985,18
19,1/20/21,10.27,9.903567985,19
20,1/21/21,10.27,9.903567985,20
21,1/22/21,10.27,9.903567985,21
22,1/23/21,10.27,9.903567985,22
23,1/24/21,10.27,9.903567985,23
24,1/25/21,10.27,9.903567985,24
25,1/26/21,10.27,9.903567985,25
26,1/27/21,10.27,9.903567985,26
27,1/28/21,10.27,9.903567985,27
28,1/29/21,10.27,9.903567985,28
29,1/30/21,10.27,9.903567985,29
30,1/31/21,10.27,9.903567985,30
31,2/1/21,9.59,9.24783028,31
32,2/2/21,9.59,9.24783028,32
33,2/3/21,9.59,9.24783028,33
34,2/4/21,9.59,9.24783028,34
35,2/5/21,9.59,9.24783028,35
36,2/6/21,9.59,9.24783028,36
37,2/7/21,9.59,9.24783028,37
38,2/8/21,9.59,9.24783028,38
39,2/9/21,9.59,9.24783028,39
40,2/10/21,9.59,9.24783028,40
41,2/11/21,9.59,9.24783028,41
42,2/12/21,9.59,9.24783028,42
43,2/13/21,9.59,9.24783028,43
44,2/14/21,9.59,9.24783028,44
45,2/15/21,9.59,9.24783028,45
46,2/16/21,9.59,9.24783028,46
47,2/17/21,9.59,9.24783028,47
48,2/18/21,9.59,9.24783028,48
49,2/19/21,9.59,9.24783028,49
50,2/20/21,9.59,9.24783028,50
51,2/21/21,9.59,9.24783028,51
52,2/22/21,9.59,9.24783028,52
53,2/23/21,9.59,9.24783028,53
54,2/24/21,9.59,9.24783028,54
55,2/25/21,9.59,9.24783028,55
56,2/26/21,9.59,9.24783028,56
57,2/27/21,9.59,9.24783028,57
58,2/28/21,9.59,9.24783028,58
59,3/1/21,9.82,9.469623915,59
60,3/2/21,9.82,9.469623915,60
61,3/3/21,9.82,9.469623915,61
62,3/4/21,9.82,9.469623915,62
63,3/5/21,9.82,9.469623915,63
64,3/6/21,9.82,9.469623915,64
65,3/7/21,9.82,9.469623915,65
66,3/8/21,9.82,9.469623915,66
67,3/9/21,9.82,9.469623915,67
68,3/10/21,9.82,9.469623915,68
69,3/11/21,9.82,9.469623915,69
70,3/12/21,9.82,9.469623915,70
71,3/13/21,9.82,9.469623915,71
72,3/14/21,9.82,9.469623915,72
73,3/15/21,9.82,9.469623915,73
74,3/16/21,9.82,9.469623915,74
75,3/17/21,9.82,9.469623915,75
76,3/18/21,9.82,9.469623915,76
77,3/19/21,9.82,9.469623915,77
78,3/20/21,9.82,9.469623915,78
79,3/21/21,9.82,9.469623915,79
80,3/22/21,9.82,9.469623915,80
81,3/23/21,9.82,9.469623915,81
82,3/24/21,9.82,9.469623915,82
83,3/25/21,9.82,9.469623915,83
84,3/26/21,9.82,9.469623915,84
85,3/27/21,9.82,9.469623915,85
86,3/28/21,9.82,9.469623915,86
87,3/29/21,9.82,9.469623915,87
88,3/30/21,9.82,9.469623915,88
89,3/31/21,9.82,9.469623915,89
90,4/1/21,8.75,8.43780135,90
91,4/2/21,8.75,8.43780135,91
92,4/3/21,8.75,8.43780135,92
93,4/4/21,8.75,8.43780135,93
94,4/5/21,8.75,8.43780135,94
95,4/6/21,8.75,8.43780135,95
96,4/7/21,8.75,8.43780135,96
97,4/8/21,8.75,8.43780135,97
98,4/9/21,8.75,8.43780135,98
99,4/10/21,8.75,8.43780135,99
100,4/11/21,8.75,8.43780135,100
101,4/12/21,8.75,8.43780135,101
102,4/13/21,8.75,8.43780135,102
103,4/14/21,8.75,8.43780135,103
104,4/15/21,8.75,8.43780135,104
105,4/16/21,8.75,8.43780135,105
106,4/17/21,8.75,8.43780135,106
107,4/18/21,8.75,8.43780135,107
108,4/19/21,8.75,8.43780135,108
109,4/20/21,8.75,8.43780135,109
110,4/21/21,8.75,8.43780135,110
111,4/22/21,8.75,8.43780135,111
112,4/23/21,8.75,8.43780135,112
113,4/24/21,8.75,8.43780135,113
114,4/25/21,8.75,8.43780135,114
115,4/26/21,8.75,8.43780135,115
116,4/27/21,8.75,8.43780135,116
117,4/28/21,8.75,8.43780135,117
118,4/29/21,8.75,8.43780135,118
119,4/30/21,8.75,8.43780135,119
120,5/1/21,8.12,7.830279653,120
121,5/2/21,8.12,7.830279653,121
122,5/3/21,8.12,7.830279653,122
123,5/4/21,8.12,7.830279653,123
124,5/5/21,8.12,7.830279653,124
125,5/6/21,8.12,7.830279653,125
126,5/7/21,8.12,7.830279653,126
127,5/8/21,8.12,7.830279653,127
128,5/9/21,8.12,7.830279653,128
129,5/10/21,8.12,7.830279653,129
130,5/11/21,8.12,7.830279653,130
131,5/12/21,8.12,7.830279653,131
132,5/13/21,8.12,7.830279653,132
133,5/14/21,8.12,7.830279653,133
134,5/15/21,8.12,7.830279653,134
135,5/16/21,8.12,7.830279653,135
136,5/17/21,8.12,7.830279653,136
137,5/18/21,8.12,7.830279653,137
138,5/19/21,8.12,7.830279653,138
139,5/20/21,8.12,7.830279653,139
140,5/21/21,8.12,7.830279653,140
141,5/22/21,8.12,7.830279653,141
142,5/23/21,8.12,7.830279653,142
143,5/24/21,8.12,7.830279653,143
144,5/25/21,8.12,7.830279653,144
145,5/26/21,8.12,7.830279653,145
146,5/27/21,8.12,7.830279653,146
147,5/28/21,8.12,7.830279653,147
148,5/29/21,8.12,7.830279653,148
149,5/30/21,8.12,7.830279653,149
150,5/31/21,8.12,7.830279653,150
151,6/1/21,8.19,7.897782064,151
152,6/2/21,8.19,7.897782064,152
153,6/3/21,8.19,7.897782064,153
154,6/4/21,8.19,7.897782064,154
155,6/5/21,8.19,7.897782064,155
156,6/6/21,8.19,7.897782064,156
157,6/7/21,8.19,7.897782064,157
158,6/8/21,8.19,7.897782064,158
159,6/9/21,8.19,7.897782064,159
160,6/10/21,8.19,7.897782064,160
161,6/11/21,8.19,7.897782064,161
162,6/12/21,8.19,7.897782064,162
163,6/13/21,8.19,7.897782064,163
164,6/14/21,8.19,7.897782064,164
165,6/15/21,8.19,7.897782064,165
166,6/16/21,8.19,7.897782064,166
167,6/17/21,8.19,7.897782064,167
168,6/18/21,8.19,7.897782064,168
169,6/19/21,8.19,7.897782064,169
170,6/20/21,8.19,7.897782064,170
171,6/21/21,8.19,7.897782064,171
172,6/22/21,8.19,7.897782064,172
173,6/23/21,8.19,7.897782064,173
174,6/24/21,8.19,7.897782064,174
175,6/25/21,8.19,7.897782064,175
176,6/26/21,8.19,7.897782064,176
177,6/27/21,8.19,7.897782064,177
178,6/28/21,8.19,7.897782064,178
179,6/29/21,8.19,7.897782064,179
180,6/30/21,8.19,7.897782064,180
181,7/1/21,8.74,8.428158149,181
182,7/2/21,8.74,8.428158149,182
183,7/3/21,8.74,8.428158149,183
184,7/4/21,8.74,8.428158149,184
185,7/5/21,8.74,8.428158149,185
186,7/6/21,8.74,8.428158149,186
187,7/7/21,8.74,8.428158149,187
188,7/8/21,8.74,8.428158149,188
189,7/9/21,8.74,8.428158149,189
190,7/10/21,8.74,8.428158149,190
191,7/11/21,8.74,8.428158149,191
192,7/12/21,8.74,8.428158149,192
193,7/13/21,8.74,8.428158149,193
194,7/14/21,8.74,8.428158149,194
195,7/15/21,8.74,8.428158149,195
196,7/16/21,8.74,8.428158149,196
197,7/17/21,8.74,8.428158149,197
198,7/18/21,8.74,8.428158149,198
199,7/19/21,8.74,8.428158149,199
200,7/20/21,8.74,8.428158149,200
201,7/21/21,8.74,8.428158149,201
202,7/22/21,8.74,8.428158149,202
203,7/23/21,8.74,8.428158149,203
204,7/24/21,8.74,8.428158149,204
205,7/25/21,8.74,8.428158149,205
206,7/26/21,8.74,8.428158149,206
207,7/27/21,8.74,8.428158149,207
208,7/28/21,8.74,8.428158149,208
209,7/29/21,8.74,8.428158149,209
210,7/30/21,8.74,8.428158149,210
211,7/31/21,8.74,8.428158149,211
212,8/1/21,8.66,8.351012536,212
213,8/2/21,8.66,8.351012536,213
214,8/3/21,8.66,8.351012536,214
215,8/4/21,8.66,8.351012536,215
216,8/5/21,8.66,8.351012536,216
217,8/6/21,8.66,8.351012536,217
218,8/7/21,8.66,8.351012536,218
219,8/8/21,8.66,8.351012536,219
220,8/9/21,8.66,8.351012536,220
221,8/10/21,8.66,8.351012536,221
222,8/11/21,8.66,8.351012536,222
223,8/12/21,8.66,8.351012536,223
224,8/13/21,8.66,8.351012536,224
225,8/14/21,8.66,8.351012536,225
226,8/15/21,8.66,8.351012536,226
227,8/16/21,8.66,8.351012536,227
228,8/17/21,8.66,8.351012536,228
229,8/18/21,8.66,8.351012536,229
230,8/19/21,8.66,8.351012536,230
231,8/20/21,8.66,8.351012536,231
232,8/21/21,8.66,8.351012536,232
233,8/22/21,8.66,8.351012536,233
234,8/23/21,8.66,8.351012536,234
235,8/24/21,8.66,8.351012536,235
236,8/25/21,8.66,8.351012536,236
237,8/26/21,8.66,8.351012536,237
238,8/27/21,8.66,8.351012536,238
239,8/28/21,8.66,8.351012536,239
240,8/29/21,8.66,8.351012536,240
241,8/30/21,8.66,8.351012536,241
242,8/31/21,8.66,8.351012536,242
243,9/1/21,9.01,8.68852459,243
244,9/2/21,9.01,8.68852459,244
245,9/3/21,9.01,8.68852459,245
246,9/4/21,9.01,8.68852459,246
247,9/5/21,9.01,8.68852459,247
248,9/6/21,9.01,8.68852459,248
249,9/7/21,9.01,8.68852459,249
250,9/8/21,9.01,8.68852459,250
251,9/9/21,9.01,8.68852459,251
252,9/10/21,9.01,8.68852459,252
253,9/11/21,9.01,8.68852459,253
254,9/12/21,9.01,8.68852459,254
255,9/13/21,9.01,8.68852459,255
256,9/14/21,9.01,8.68852459,256
257,9/15/21,9.01,8.68852459,257
258,9/16/21,9.01,8.68852459,258
259,9/17/21,9.01,8.68852459,259
260,9/18/21,9.01,8.68852459,260
261,9/19/21,9.01,8.68852459,261
262,9/20/21,9.01,8.68852459,262
263,9/21/21,9.01,8.68852459,263
264,9/22/21,9.01,8.68852459,264
265,9/23/21,9.01,8.68852459,265
266,9/24/21,9.01,8.68852459,266
267,9/25/21,9.01,8.68852459,267
268,9/26/21,9.01,8.68852459,268
269,9/27/21,9.01,8.68852459,269
270,9/28/21,9.01,8.68852459,270
271,9/29/21,9.01,8.68852459,271
272,9/30/21,9.01,8.68852459,272
273,10/1/21,10.43,10.05785921,273
274,10/2/21,10.43,10.05785921,274
275,10/3/21,10.43,10.05785921,275
276,10/4/21,10.43,10.05785921,276
277,10/5/21,10.43,10.05785921,277
278,10/6/21,10.43,10.05785921,278
279,10/7/21,10.43,10.05785921,279
280,10/8/21,10.43,10.05785921,280
281,10/9/21,10.43,10.05785921,281
282,10/10/21,10.43,10.05785921,282
283,10/11/21,10.43,10.05785921,283
284,10/12/21,10.43,10.05785921,284
285,10/13/21,10.43,10.05785921,285
286,10/14/21,10.43,10.05785921,286
287,10/15/21,10.43,10.05785921,287
288,10/16/21,10.43,10.05785921,288
289,10/17/21,10.43,10.05785921,289
290,10/18/21,10.43,10.05785921,290
291,10/19/21,10.43,10.05785921,291
292,10/20/21,10.43,10.05785921,292
293,10/21/21,10.43,10.05785921,293
294,10/22/21,10.43,10.05785921,294
295,10/23/21,10.43,10.05785921,295
296,10/24/21,10.43,10.05785921,296
297,10/25/21,10.43,10.05785921,297
298,10/26/21,10.43,10.05785921,298
299,10/27/21,10.43,10.05785921,299
300,10/28/21,10.43,10.05785921,300
301,10/29/21,10.43,10.05785921,301
302,10/30/21,10.43,10.05785921,302
303,10/31/21,10.43,10.05785921,303
304,11/1/21,11.46,11.05110897,304
305,11/2/21,11.46,11.05110897,305
306,11/3/21,11.46,11.05110897,306
307,11/4/21,11.46,11.05110897,307
308,11/5/21,11.46,11.05110897,308
309,11/6/21,11.46,11.05110897,309
310,11/7/21,11.46,11.05110897,310
311,11/8/21,11.46,11.05110897,311
312,11/9/21,11.46,11.05110897,312
313,11/10/21,11.46,11.05110897,313
314,11/11/21,11.46,11.05110897,314
315,11/12/21,11.46,11.05110897,315
316,11/13/21,11.46,11.05110897,316
317,11/14/21,11.46,11.05110897,317
318,11/15/21,11.46,11.05110897,318
319,11/16/21,11.46,11.05110897,319
320,11/17/21,11.46,11.05110897,320
321,11/18/21,11.46,11.05110897,321
322,11/19/21,11.46,11.05110897,322
323,11/20/21,11.46,11.05110897,323
324,11/21/21,11.46,11.05110897,324
325,11/22/21,11.46,11.05110897,325
326,11/23/21,11.46,11.05110897,326
327,11/24/21,11.46,11.05110897,327
328,11/25/21,11.46,11.05110897,328
329,11/26/21,11.46,11.05110897,329
330,11/27/21,11.46,11.05110897,330
331,11/28/21,11.46,11.05110897,331
