,Nuclear,geothermal,hydroelectric_pumped_storage,natural_gas_fired_combined_cycle,onshore_wind_turbine,solar_photovoltaic,hour
0,0.0,1867.2811611256,0.0,0.0,0.0,0.0,1
1,133.60689686840038,295.4431031315996,0.0,0.0,0.0,0.0,2
2,200.00000000000003,228.8,0.0,0.0,0.0,0.0,3
3,200.0,224.1,0.0,0.0,0.0,0.0,4
4,116.9798873648004,302.8201126351996,0.0,0.0,0.0,0.0,5
5,0.0,434.6079031979998,0.0,0.0,0.0,0.0,6
6,0.0,648.0642059387997,0.0,0.0,0.0,0.0,7
7,0.0,809.1298870359997,0.0,0.0,0.0,0.0,8
8,0.0,972.4385506567996,0.0,0.0,0.0,0.0,9
9,0.0,1102.9972703495996,0.0,0.0,0.0,0.0,10
10,0.0,1123.5209270799996,0.0,0.0,0.0,0.0,11
11,0.0,1000.1680553327996,0.0,0.0,0.0,0.0,12
12,0.0,780.2956526323997,0.0,0.0,0.0,0.0,13
13,0.0,587.9112803415996,0.0,0.0,0.0,0.0,14
14,0.0,569.8158695739999,0.0,0.0,0.0,0.0,15
15,0.0,662.5333516743995,0.0,0.0,0.0,0.0,16
16,0.0,1208.2775181479997,0.0,0.0,0.0,0.0,17
17,0.0,1337.7966963703998,0.0,0.0,0.0,0.0,18
18,0.0,1378.0926958739997,0.0,0.0,0.0,0.0,19
19,0.0,1395.3051794135995,0.0,0.0,0.0,0.0,20
20,0.0,1571.3435419283996,0.0,0.0,0.0,0.0,21
21,0.0,1114.286403577601,0.0,0.0,0.0,0.0,22
22,0.0,455.72953652040087,0.0,0.0,0.0,0.0,23
23,0.0,1981.32,0.0,0.0,0.0,0.0,24
24,0.0,1981.32,0.0,0.0,0.0,0.0,25
25,199.99999999999827,232.51243450400028,0.0,0.0,0.0,0.0,26
26,200.0,222.65,0.0,0.0,0.0,0.0,27
27,200.0,250.3847913100011,0.0,0.0,0.0,0.0,28
28,2.220446049250313e-14,417.44999999999993,0.0,0.0,0.0,0.0,29
29,0.0,408.7999999999961,0.0,0.0,0.0,0.0,30
30,0.0,901.7809691291998,0.0,0.0,0.0,0.0,31
