,tech,existing_cap_mw,total_electricity_rev_$,unit_rev_$_per_mw,capacity_price_$_per_mw_day,adjustment_factor,total_capacity_rev_$,day
0,Nuclear,500.0,119358.02797784132,238.71605595568263,28.92,0.9,13014.0,0
1,geothermal,2323.8,1769.8864041095894,0.7616345658445605,28.92,0.9,60483.866400000006,0
2,hydroelectric_pumped_storage,1549.2,1742.781614321673,1.124955857424266,28.92,0.9,40322.5776,0
3,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,0
4,onshore_wind_turbine,1549.2,16540.22204774907,10.676621512877013,28.92,0.4,17921.1456,0
5,solar_photovoltaic,1549.2,38214.88147241668,24.667493849997857,28.92,0.4,17921.1456,0
6,Nuclear,500.0,118707.36428088302,237.41472856176603,28.92,0.9,13014.0,1
7,geothermal,2323.8,1415.909123287659,0.609307652675643,28.92,0.9,60483.866400000006,1
8,hydroelectric_pumped_storage,1549.2,1670.728408640638,1.078445913142679,28.92,0.9,40322.5776,1
9,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,1
10,onshore_wind_turbine,1549.2,21354.782458016147,13.784393530865056,28.92,0.4,17921.1456,1
11,solar_photovoltaic,1549.2,39960.1233255424,25.79403777791273,28.92,0.4,17921.1456,1
12,Nuclear,500.0,144296.89220381484,288.5937844076297,28.92,0.9,13014.0,2
13,geothermal,2323.8,2123.863684931507,0.9139614790134724,28.92,0.9,60483.866400000006,2
14,hydroelectric_pumped_storage,1549.2,443.7991481365437,0.2864698864811151,28.92,0.9,40322.5776,2
15,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,2
16,onshore_wind_turbine,1549.2,11520.127658643774,7.436178452519864,28.92,0.4,17921.1456,2
17,solar_photovoltaic,1549.2,37743.50928947333,24.363225722613816,28.92,0.4,17921.1456,2
18,Nuclear,500.0,151968.49221504046,303.93698443008094,28.92,0.9,13014.0,3
19,geothermal,2323.8,2123.863684931507,0.9139614790134724,28.92,0.9,60483.866400000006,3
20,hydroelectric_pumped_storage,1549.2,-562.7245265608076,-0.3632355580692019,28.92,0.9,40322.5776,3
21,natural_gas_fired_combined_cycle,2323.8,0.0,0.0,28.92,0.9,60483.866400000006,3
22,onshore_wind_turbine,1549.2,7971.337503242037,5.145454107437411,28.92,0.4,17921.1456,3
23,solar_photovoltaic,1549.2,37965.22886649749,24.50634447876161,28.92,0.4,17921.1456,3
24,Nuclear,500.0,154703.86255177125,309.4077251035425,28.92,0.9,13014.0,4
25,geothermal,2323.8,2123.863684931507,0.9139614790134724,28.92,0.9,60483.866400000006,4
26,hydroelectric_pumped_storage,1549.2,-1139.1183876726986,-0.7352945957092039,28.92,0.9,40322.5776,4
